Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene36	LOC107053629	1	+	719872	725246	0.538092	0.136910	0.332391
gene37	FAM40B	1	+	758387	773884	48.188190	14.000717	33.990959
gene38	LOC107053537	1	-	772678	792887	0.419690	0.106785	0.259252
gene39	SMKR1	1	+	779372	782475	15.970201	4.063406	9.865142
gene40	NRF1	1	+	792667	839579	3.507341	2.934310	7.123922
gene41	LOC107053552	1	-	839823	848101	5.191272	1.320850	3.206762
gene42	MIR183	1	-	844362	844459	0.000000	0.000000	0.000000
gene43	UBE2H	1	-	856350	898286	293.528412	74.684410	181.318924
gene44	ZC3HC1	1	-	899544	908528	64.698265	16.461617	39.965534
gene45	MIR6676	1	-	907622	907731	0.000000	0.000000	0.000000
gene46	KLHDC10	1	+	908890	922276	69.577950	17.965189	43.615910
gene47	MIR6629	1	+	917736	917845	0.730878	0.234536	0.569408
gene48	LOC100859230	1	-	923642	931059	11.211134	2.852525	6.925363
gene49	TMEM209	1	-	934070	945407	54.314983	13.819728	33.551556
gene50	CPA2	1	+	948988	958470	2.107205	0.536150	1.301667
gene51	CPA5	1	+	960181	964481	1.874813	0.477021	1.158113
gene52	CPA1	1	+	965365	969129	0.000000	0.000000	0.000000
gene53	CEP41	1	-	970622	978956	13.316528	4.127145	10.019888
gene54	MEST	1	+	979083	984220	6.817081	2.549333	6.189276
gene55	COPG2	1	-	984120	1003140	219.503860	57.817402	140.369171
gene56	IL15RA	1	+	1014169	1019145	11.759742	3.413188	8.286544
gene57	FBXO18	1	-	1020033	1044239	21.582764	5.656992	13.734053
gene58	ANKRD16	1	+	1044337	1060891	3.437182	1.500093	3.641929
gene59	GDI2	1	+	1061974	1076763	861.649292	219.235245	532.259644
gene60	FAM208B	1	-	1062869	1110883	14.866615	3.883715	9.428888
gene61	LOC107053421	1	+	1087068	1094118	0.128894	0.035270	0.085627
gene62	ASB13	1	+	1116147	1127777	12.620765	6.234080	15.135108
gene63	CALML3	1	-	1133798	1134247	0.112190	0.028545	0.069302
gene64	NET1	1	-	1137274	1189213	364.050507	103.940849	252.347733
gene65	LOC107053359	1	+	1153678	1156042	0.000000	0.000000	0.000000
gene66	LOC101748925	1	+	1163225	1172900	0.279409	0.071092	0.172597
gene67	TUBAL3	1	+	1198475	1204985	1.544301	0.392927	0.953949
gene68	LOC416695	1	-	1207784	1213091	0.000000	0.000000	0.000000
gene69	UCN3	1	-	1210217	1218082	0.036180	0.009206	0.022349
gene70	LOC416696	1	-	1259122	1322609	0.075316	0.019349	0.046976
gene71	MIR205B	1	-	1273692	1273789	0.000000	0.000000	0.000000
gene72	SLC35B4	1	+	1341905	1356647	103.047935	26.219183	63.654968
gene73	LRGUK	1	-	1363097	1413282	2.848867	0.807737	1.961024
gene74	EXOC4	1	-	1421469	1841513	22.693729	30.654459	74.422943
gene75	LOC101749816	1	+	1630944	1636101	0.201546	0.053904	0.130869
gene76	LOC101750035	1	+	1636714	1643824	0.367394	0.093479	0.226947
gene77	LOC107053159	1	+	1645246	1648783	0.273667	0.069631	0.169050
gene78	LOC107053233	1	+	1652080	1652669	0.648649	0.165040	0.400685
gene79	LOC107053236	1	+	1652972	1653447	0.000000	0.000000	0.000000
gene80	LOC101749355	1	+	1660593	1662455	0.163885	0.041698	0.101235
gene81	MIR6659	1	-	1698306	1698415	0.000000	0.000000	0.000000
gene82	LOC101752016	1	+	1848706	1850489	0.000000	0.000000	0.000000
gene83	LOC107053683	1	+	1869898	1871678	0.000000	0.000000	0.000000
gene84	LOC107049180	1	+	1877557	1880154	0.000000	0.000000	0.000000
gene85	LOC107053663	1	+	1898694	1899935	0.000000	0.000000	0.000000
gene86	LOC107053764	1	+	1916410	1918088	0.000000	0.000000	0.000000
gene87	LOC107053701	1	+	1921154	1923277	0.097723	0.024864	0.060366
gene88	LOC107053749	1	+	1923259	1925100	0.476515	0.137675	0.334247
gene89	LOC101749970	1	-	1929773	1932616	0.000000	0.000000	0.000000
gene90	LOC107053761	1	-	1938568	1939717	0.000000	0.000000	0.000000
gene91	LOC107053689	1	-	1943661	1946673	0.000000	0.000000	0.000000
gene92	LOC107054393	1	-	1953928	1954458	0.000000	0.000000	0.000000
gene93	LOC107053921	1	-	1954730	1957209	0.000000	0.000000	0.000000
gene94	LOC107053908	1	-	1960042	1964573	0.000000	0.000000	0.000000
gene95	CHCHD3	1	+	2002502	2187494	190.210190	48.944244	118.826912
gene96	LOC101750196	1	-	2035400	2042315	0.221998	0.058654	0.142400
gene97	LOC107054205	1	-	2046806	2048582	0.659033	0.167682	0.407099
gene98	LOC107054335	1	-	2048592	2050795	0.302202	0.076891	0.186677
gene99	LOC107054228	1	-	2058419	2061475	0.162875	0.041441	0.100611
gene100	LOC107054320	1	-	2061483	2063072	0.000000	0.000000	0.000000
gene102	PLXNA4B	1	+	2290782	2647135	0.872387	0.364566	0.885094
gene103	MIR6621	1	+	2713344	2713453	0.000000	0.000000	0.000000
gene104	LOC101750753	1	-	2824494	2826713	0.276968	0.070471	0.171089
gene105	LOC107054375	1	-	2826756	2827580	0.000000	0.000000	0.000000
gene106	LOC107054372	1	-	2833163	2835549	0.657245	0.167227	0.405995
gene107	LOC107054362	1	-	2849511	2850914	0.531401	0.135208	0.328258
gene108	LOC101752068	1	-	2851454	2852712	0.368369	0.093727	0.227550
gene109	PODXL	1	+	3092427	3133147	0.643149	0.163710	0.397456
gene110	MKLN1	1	-	3142580	3240472	128.661514	32.736217	79.477036
gene111	LOC101750931	1	+	3240544	3251239	4.187570	1.078602	2.618633
gene112	LOC107054126	1	+	3255591	3259894	4.382245	1.115004	2.707009
gene114	LOC107054102	1	-	3402883	3404191	0.000000	0.000000	0.000000
gene117	K123	1	+	3463913	3476005	4.873532	5.233371	12.705585
gene118	IL2RA	1	-	3482204	3498520	0.292113	0.074324	0.180445
gene119	RBM17	1	+	3492391	3529173	71.678299	45.062820	109.403580
gene120	PFKFB3	1	+	3542620	3582536	29.281548	19.814795	48.106384
gene122	PRKCQ	1	-	3663976	3718876	20.994663	5.688371	13.810235
gene123	SFMBT2	1	-	3928641	4037992	7.110935	1.809283	4.392580
gene124	LOC101752189	1	-	4066982	4068549	0.000000	0.000000	0.000000
gene125	LOC101751191	1	-	4075502	4077181	0.000000	0.000000	0.000000
gene126	LOC107054603	1	-	4118196	4120249	2.329508	0.592712	1.438988
gene127	LOC419112	1	+	4120316	4150446	20.161591	5.621633	13.648209
gene128	ITIH5	1	-	4152211	4199566	0.226116	0.057532	0.139677
gene129	ITIH2	1	+	4206624	4231845	1.172843	0.298414	0.724491
gene130	KIN	1	-	4233531	4248380	21.831377	5.556044	13.488971
gene131	ATP5C1	1	+	4248407	4255205	417.967346	110.624985	268.575500
gene132	TAF3	1	+	4257756	4371456	2.882539	14.592266	35.427124
gene133	LOC107054553	1	-	4370884	4397942	2.905083	0.930272	2.258515
gene134	GATA3	1	+	4393443	4420572	1.122633	0.779041	1.891357
gene136	LOC107054627	1	+	4772684	4824683	0.106292	0.027045	0.065659
gene140	MIR1626	1	+	5693452	5693541	1.222222	0.716107	1.738565
gene141	LOC101747941	1	+	5726245	5738241	0.522655	0.132983	0.322855
gene142	CELF2	1	+	5778492	5974445	24.810659	6.312744	15.326088
gene143	MIR1596	1	+	5811652	5811741	0.000000	0.000000	0.000000
gene144	USP6NL	1	-	6033346	6143958	7.195023	12.363028	30.014977
gene145	ECHDC3	1	+	6163731	6168480	134.589813	34.244595	83.139069
gene146	LOC107054942	1	-	6168417	6177541	2.432564	0.618934	1.502648
gene147	PROSER2	1	+	6186202	6211070	31.866400	14.820935	35.982285
gene148	UPF2	1	-	6216865	6273079	107.785812	34.540150	83.856628
gene149	DHTKD1	1	+	6275924	6292998	38.562298	9.811666	23.820774
gene150	SEC61A2	1	+	6299356	6315142	228.629807	61.474888	149.248810
gene151	NUDT5	1	-	6315849	6327443	45.718575	13.026185	31.624992
gene152	CDC123	1	+	6327484	6365137	47.708168	12.141455	29.477041
gene153	CAMK1D	1	+	6389236	6616257	22.032234	7.548214	18.325567
gene154	CCDC3	1	-	6624858	6666319	59.611282	15.167300	36.823193
gene155	OPTN	1	+	6693070	6711196	271.471130	69.072235	167.693665
gene156	MCM10	1	+	6714447	6730759	13.248061	3.635363	8.825939
gene157	PHYH	1	-	6734017	6745767	91.143394	23.190229	56.301270
gene158	SEPHS1	1	-	6753307	6777219	74.157951	21.750448	52.805775
gene159	BEND7	1	-	6790345	6838577	22.339773	5.684059	13.799767
gene160	RP11-295P9.13	1	+	6850095	6867320	65.823723	16.967638	41.194054
gene161	LOC419035	1	-	6869305	7226605	9.511389	2.994035	7.268923
gene162	MIR1460	1	-	6954124	6954222	0.000000	0.000000	0.000000
gene163	LOC107055204	1	+	7116164	7118675	0.000000	0.000000	0.000000
gene164	FAM107B	1	-	7291661	7413891	156.024551	46.808201	113.641014
gene165	HSPA14	1	+	7436980	7447894	62.822567	15.984368	38.806873
gene166	SUV39H2	1	+	7449344	7459103	44.873848	11.417556	27.719559
gene167	DCLRE1C	1	-	7459373	7469951	10.079906	2.564699	6.226579
gene168	MEIG1	1	+	7470064	7475660	1.147651	0.292005	0.708929
gene169	TMEM243	1	+	7487470	7494482	30.711021	7.814013	18.970871
gene170	DMTF1	1	-	7494480	7523025	29.856951	8.163301	19.818876
gene171	KIAA1324L	1	+	7556873	7650214	951.221313	242.025635	587.590210
gene172	GRM3	1	-	7654820	7763564	0.327374	0.088370	0.214545
gene173	SEMA3D	1	+	8310274	8453106	6.160172	2.237851	5.433057
gene174	SEMA3A	1	+	8709850	8998426	95.573006	28.292351	68.688217
gene175	LOC107055346	1	-	8730710	8734437	0.824106	0.209683	0.509068
gene176	SEMA3E	1	+	9507267	9638061	2.693078	0.685218	1.663573
gene177	PCLO	1	+	9732605	10062238	1.797128	0.610024	1.481016
gene178	LOC107055502	1	-	10008334	10015930	0.152827	0.038885	0.094405
gene179	LOC107055432	1	-	10019254	10042998	0.000000	0.000000	0.000000
gene180	CACNA2D1	1	+	10220631	10402198	19.291580	4.908487	11.916833
gene181	CACNA2D1	1	+	10427975	10584619	14.985974	3.812983	9.257164
gene182	LOC107057029	1	-	10639898	10643763	1.028846	0.261776	0.635541
gene183	LOC107057089	1	-	10646500	10653399	2.429009	0.618029	1.500452
gene184	HGF	1	+	10650355	10713363	5.900615	2.418276	5.871093
gene185	SEMA3C	1	+	11040851	11162842	82.433159	21.345907	51.823620
gene186	CD36	1	-	11180362	11239813	29.758579	10.943125	26.567734
gene187	GNAT3	1	+	11261662	11291903	2.186326	0.556282	1.350541
gene188	GNAI1	1	-	11368548	11403764	40.308014	12.190513	29.596144
gene189	MAGI2	1	+	11695397	12420711	0.354811	1.963887	4.767929
gene190	PHTF2	1	-	12441333	12504097	45.731365	15.850698	38.482346
gene191	TMEM60	1	+	12504419	12508814	28.543442	21.500269	52.198383
gene192	RSBN1L	1	-	12511595	12559936	17.700603	4.539037	11.019880
gene193	LOC107051624	1	+	12564428	12566663	0.862563	0.219468	0.532824
gene194	PTPN12	1	-	12571735	12642031	119.837402	30.491039	74.026184
gene195	LOC107051625	1	-	12674085	12676575	10.711723	2.725456	6.616866
gene196	GSAP	1	+	12676645	12724321	69.636604	17.913500	43.490425
gene197	CCDC146	1	-	12724251	12796993	4.404611	1.132222	2.748810
gene198	LOC107051626	1	+	12725926	12733061	0.000000	0.000000	0.000000
gene199	FGL2	1	+	12776938	12782948	1073.638306	273.173035	663.209900
gene200	FAM185A	1	+	12797203	12836827	212.189789	53.988880	131.074280
gene201	FBXL13	1	-	12837894	12916750	4.448571	1.170061	2.840676
gene202	LRRC17	1	+	12868688	12887277	20.738224	10.665726	25.894264
gene203	ARMC10	1	+	12916974	12927293	10.271148	3.268718	7.935799
gene204	NAPEPLD	1	-	12927107	12946956	25.281191	8.277216	20.095438
gene205	PMPCB	1	+	12968087	12977039	143.760117	37.073868	90.007988
gene206	DNAJC2	1	-	12976973	12994206	110.537918	28.928305	70.232178
gene207	PSMC2	1	+	12994460	13001483	359.378052	91.438988	221.995697
gene208	SLC26A5	1	-	13005189	13038545	37.907951	9.645176	23.416573
gene209	RELN	1	-	13046273	13318952	54.118584	13.776949	33.447697
gene210	ORC5	1	-	13347695	13416586	18.780817	10.498018	25.487104
gene211	TRNAG-CCC	1	-	13402657	13402727	1.985916	0.505290	1.226744
gene212	LOC100858127	1	+	13473692	13709420	22.844208	5.896263	14.314955
gene213	LOC107051628	1	-	13722529	13764553	1.182294	0.300819	0.730329
gene214	KMT2E	1	+	13764678	13817455	38.903584	9.898501	24.031595
gene215	SRPK2	1	-	13819140	13957608	11.001112	21.339191	51.807316
gene216	LOC107051627	1	+	13824186	13830062	2.922825	0.743674	1.805493
gene217	LOC107051629	1	+	13957526	13959637	1.776021	0.451885	1.097087
gene218	LOC101752215	1	-	13971900	13978677	2.625805	0.893424	2.169057
gene219	PUS7	1	+	13977855	13999762	44.239746	17.106600	41.531429
gene220	RINT1	1	+	14000109	14011966	30.491282	7.758102	18.835133
gene221	EFCAB10	1	-	14011546	14013700	10.512752	3.170645	7.697696
gene222	ATXN7L1	1	-	14018564	14128854	52.807087	18.225662	44.248291
gene223	CDHR3	1	+	14128963	14183177	1.400294	0.636959	1.546409
gene224	SYPL1	1	-	14192967	14199186	0.000000	0.000000	0.000000
gene225	LOC107051630	1	+	14199223	14202663	0.000000	0.000000	0.000000
gene226	NAMPT	1	-	14224726	14254091	146.781265	48.350739	117.385986
gene228	CCDC71L	1	-	14379172	14384657	58.527187	14.891468	36.153526
gene229	PIK3CG	1	+	14407291	14444299	15.214518	6.327198	15.361179
gene230	PRKAR2B	1	+	14466480	14549861	3.545136	0.904921	2.196968
gene231	HBP1	1	+	14555679	14570948	157.363663	40.886513	99.264320
gene232	COG5	1	-	14570254	14754203	88.004410	22.391556	54.362251
gene233	GPR22	1	+	14715671	14721717	0.488440	0.124277	0.301720
gene234	DUS4L	1	+	14754151	14765795	17.990429	4.594763	11.155171
gene235	MIR2126	1	-	14768810	14768955	0.000000	0.000000	0.000000
gene236	BCAP29	1	+	14768856	14792300	306.773621	78.054482	189.500793
gene237	SLC26A4	1	+	14798131	14820135	0.000000	0.000000	0.000000
gene238	CBLL1	1	+	14822453	14828993	59.447506	18.144133	44.050350
gene239	SLC26A3	1	-	14828661	14844082	1.051466	0.353536	0.858316
gene240	DLD	1	+	14867104	14880881	216.584808	56.079170	136.149094
gene241	LAMB1	1	-	14882269	14924062	23.320932	5.933702	14.405850
gene242	LAMB4	1	-	14926484	14978531	0.197116	0.050154	0.121763
gene243	ERGIC2	1	+	14978559	15001585	66.450699	30.451141	73.929321
gene244	LRRK2	1	-	15006671	15072568	3.685988	0.957727	2.325172
gene245	SLC2A13	1	+	15117323	15253763	23.484535	5.975328	14.506912
gene246	LOC107049112	1	-	15258481	15262747	6.314651	1.664118	4.040149
gene247	LOC107051632	1	+	15258863	15261403	0.753007	0.191593	0.465149
gene248	C1H12ORF40	1	-	15262877	15272992	1.331585	0.514012	1.247919
gene249	LOC107051633	1	-	15273788	15281140	1.656000	0.421347	1.022947
gene250	ABCD2	1	+	15281148	15323045	84.262024	21.439356	52.050499
gene251	LOC107051634	1	-	15332044	15342078	0.063462	0.016147	0.039202
gene252	LOC107051635	1	-	15349611	15361354	0.087699	0.022314	0.054174
gene253	KIF21A	1	+	15351052	15435480	22.891359	5.911849	14.352796
gene254	LOC417691	1	+	15448324	15488300	0.071503	0.018193	0.044169
gene255	CPNE8	1	+	15507104	15601794	26.045322	6.626887	16.088766
gene256	ALG10	1	-	15692128	15698629	52.183941	13.277513	32.235161
gene257	TPRKB	1	+	15698689	15702690	29.754087	7.570533	18.379751
gene259	GTSE1	1	+	15710309	15721326	25.719639	6.544021	15.887584
gene260	TRMU	1	+	15721903	15733541	37.443153	9.526915	23.129456
gene261	CELSR1	1	-	15738825	15899465	4.448507	1.138839	2.764874
gene262	HIST1H2B5L	1	-	15919466	15937893	36.898010	9.432213	22.899538
gene263	GRAMD4	1	+	15936926	16013860	6.048620	9.129498	22.164608
gene264	LOC107051636	1	+	16106612	16110126	0.711864	0.181124	0.439734
gene265	CERK	1	-	16132581	16175969	17.674845	4.640090	11.265219
gene266	TBC1D22A	1	+	16200255	16355410	23.958652	6.397153	15.531017
gene267	LOC107051637	1	+	16455918	16474356	0.086906	0.022112	0.053684
gene268	FAM19A5	1	+	17084225	17504584	0.188291	1.904172	4.622951
gene269	LOC107051638	1	-	17140473	17162241	0.082274	0.020934	0.050822
gene270	LOC107051639	1	+	17483470	17486120	0.000000	0.000000	0.000000
gene272	BRD1	1	-	18745801	18815324	16.712347	5.879077	14.273232
gene273	ZBED4	1	+	18815682	18840096	17.626699	10.184545	24.726051
gene274	ALG12	1	-	18849378	18865169	77.193436	22.810766	55.380009
gene275	CRELD2	1	+	18865360	18876467	78.669899	20.016516	48.596123
gene276	LOC101748137	1	-	19078026	19093700	0.000000	0.000000	0.000000
gene277	LOC100859623	1	+	19134257	19139250	0.000000	0.000000	0.000000
gene278	PIM3	1	-	19164431	19168891	342.657288	87.184608	211.666901
gene283	LOC101748454	1	-	19776647	19782239	0.326467	0.083065	0.201666
gene285	IL17REL	1	-	20028245	20070797	0.000000	0.000000	0.000000
gene287	MOV10L1	1	+	20105955	20139084	1.175400	0.323962	0.786516
gene289	PANX2	1	+	20157988	20179163	1.344952	0.887912	2.155673
gene290	LOC429348	1	-	20209984	20212866	20.394381	5.189080	12.598055
gene291	TRABD	1	+	20223868	20256165	69.977821	31.740904	77.060616
gene292	SELO	1	+	20290347	20303283	26.379023	6.711792	16.294899
gene293	TUBGCP6	1	-	20305303	20328276	15.113568	3.845447	9.335982
gene294	HDAC10	1	-	20328481	20344385	16.328316	4.614421	11.202897
gene295	LOC417741	1	-	20345884	20349549	0.000000	0.000000	0.000000
gene296	MAPK12	1	-	20365372	20396584	3.887130	0.989029	2.401165
gene297	MAPK11	1	-	20405282	20435685	5.042871	1.307292	3.173845
gene298	PLXNB2	1	-	20488409	20739387	91.222404	25.075863	60.879215
gene299	LOC107051595	1	+	20522593	20530403	0.978161	0.248880	0.604231
gene300	MIR1693	1	-	20560902	20561004	0.000000	0.000000	0.000000
gene301	LOC107051598	1	+	20739471	20745795	0.836455	0.212825	0.516697
gene302	ZNF800	1	+	20866983	20887718	1.613137	0.507806	1.232853
gene303	GRM8	1	+	20922609	21247223	0.108594	0.027630	0.067081
gene304	POT1	1	+	21741937	21804751	11.173583	2.994301	7.269567
gene305	GPR37	1	+	21843141	21854971	11.568055	2.943338	7.145841
gene306	ARL8BL	1	-	22062046	22089723	81.348679	20.839664	50.594566
gene310	LOC107052593	1	-	22200542	22208031	1.254773	0.319260	0.775101
gene311	WASL	1	+	22209091	22259092	78.596123	19.997742	48.550545
gene314	NDUFA5	1	+	22307624	22312674	89.908531	22.876034	55.538467
gene315	IQUB	1	+	22312763	22335195	0.122004	0.031042	0.075365
gene316	ATP6AP1	1	+	22343252	22397259	108.176460	27.524065	66.822968
gene317	LOC107052612	1	+	22365046	22382973	0.099720	0.025372	0.061599
gene318	SLC13A1	1	+	22423953	22452896	0.134948	0.034336	0.083360
gene319	CADPS2	1	+	22528269	22830042	0.058953	0.158024	0.383652
gene320	FEZF1	1	+	22836968	22840171	0.166088	0.042259	0.102596
gene321	AASS	1	+	22864571	22897849	38.930012	10.427326	25.315479
gene322	PTPRZ1	1	-	22901212	23034899	0.474548	0.120742	0.293139
gene323	LOC107052638	1	-	23126920	23144104	0.072098	0.018344	0.044537
gene324	FAM3C	1	+	23210197	23239646	10.179560	24.254269	58.884552
gene325	WNT16	1	-	23245771	23256298	808.149353	205.622894	499.211578
gene326	CPED1	1	-	23271745	23413415	4.390372	1.224463	2.972752
gene327	MIR1645	1	-	23377361	23377424	0.000000	0.000000	0.000000
gene328	ING3	1	-	23427323	23445724	45.818363	12.478576	30.295506
gene329	TSPAN12	1	+	23467478	23513137	20.044670	6.380549	15.490707
gene330	KCND2	1	-	23518399	23787753	0.679921	0.277282	0.673185
gene332	ANKRD26	1	+	24294540	24342686	3.681156	0.946794	2.298628
gene333	LSM8	1	-	24348924	24354638	46.625782	11.863313	28.801767
gene334	CTTNBP2	1	+	24474948	24550085	38.640766	9.831631	23.869249
gene335	CFTR	1	-	24554655	24638964	0.760037	0.193381	0.469492
gene336	ASZ1	1	+	24657952	24694939	12.266459	3.361468	8.160976
gene337	WNT2	1	+	24698757	24714039	5.144063	1.308839	3.177600
gene338	ST7	1	-	24716500	24853831	93.285431	34.239384	83.126419
gene340	CAPZA2	1	-	24865850	24895577	232.992447	59.281837	143.924530
gene341	MET	1	-	24918549	25007308	37.772099	10.839695	26.316628
gene342	CAV1	1	-	25060566	25074918	402.952667	102.525970	248.912689
gene343	CAV2	1	-	25082207	25090061	71.091843	18.088377	43.914986
gene344	TES	1	-	25175209	25201316	25.864941	7.260126	17.626146
gene345	LOC107052645	1	-	25263332	25318347	0.000000	0.000000	0.000000
gene346	TFEC	1	+	25289184	25351175	0.000000	0.000000	0.000000
gene348	MDFIC	1	-	25764792	25813425	222.363083	56.577343	137.358551
gene349	FOXP2	1	-	25907210	26319871	2.799744	0.712358	1.729463
gene352	LOC107052650	1	+	26655265	26659154	179.731689	45.730347	111.024200
gene353	GPR85	1	+	26676407	26682294	0.211746	0.068489	0.166277
gene356	LOC107052656	1	+	26756162	26762866	0.000000	0.000000	0.000000
gene357	C1H7ORF60	1	+	26768477	26802395	29.567957	7.523175	18.264774
gene358	LOC107052664	1	-	26802094	26804690	0.132802	0.033790	0.082035
gene359	TMEM168	1	+	26804256	26831373	36.811672	14.449000	35.079304
gene362	LSMEM1	1	-	26908207	26915573	0.221402	0.056333	0.136765
gene363	IFRD1	1	-	26917108	26927701	265.687531	67.600670	164.121002
gene364	ZNF277	1	-	26968441	27022165	59.944859	15.252174	37.029251
gene365	DOCK4	1	+	27022416	27268885	20.332401	5.280016	12.818830
gene366	IMMP2L	1	+	27287244	27750490	9.724652	2.568787	6.236505
gene367	LRRN3	1	-	27489294	27526685	20.422045	5.350602	12.990198
gene368	DNAJB9	1	-	28437521	28446016	51.068157	12.993616	31.545918
gene369	THAP5	1	+	28446232	28452655	130.823944	33.286419	80.812813
gene371	PNPLA8	1	+	28525847	28562132	24.993893	9.317586	22.621244
gene372	NRCAM	1	+	28579134	28721527	0.016661	0.029854	0.072479
gene373	CNTN1	1	+	28910398	28995706	5.001202	1.272490	3.089352
gene374	PDZRN4	1	+	29040977	29294112	0.363075	0.669733	1.625979
gene375	GXYLT1	1	-	29464170	29495248	13.572648	3.530810	8.572105
gene376	YAF2	1	-	29508355	29535325	28.603224	7.277712	17.668839
gene377	ZCRB1	1	-	29565647	29577484	68.881721	19.400442	47.100426
gene378	PPHLN1	1	+	29577495	29645842	27.720758	7.160919	17.385288
gene379	MIR7447	1	+	29613912	29613973	0.000000	0.000000	0.000000
gene380	PRICKLE1	1	-	29648254	29708379	17.334646	4.898015	11.891410
gene381	ADAMTS20	1	-	29921578	30007987	0.031619	0.008045	0.019532
gene382	PUS7L	1	-	30057498	30069767	11.398967	2.967059	7.203430
gene383	IRAK4	1	+	30069761	30083570	36.360638	11.484630	27.882402
gene384	TWF1	1	-	30082534	30100993	334.033356	110.891373	269.222229
gene385	LOC101748768	1	-	30103543	30113588	39.766464	10.220143	24.812481
gene386	TMEM117	1	+	30107717	30309723	63.510799	36.334663	88.213348
gene387	LOC107052694	1	-	30311474	30314667	0.456625	0.116182	0.282067
gene388	LOC101752017	1	-	30316307	30326233	0.471002	0.119840	0.290948
gene389	NELL2	1	-	30341808	30485232	2043.870239	601.823792	1461.108643
gene391	DBX2	1	-	30540025	30560231	18.915506	4.812800	11.684523
gene393	ANO6	1	+	30599431	30669824	1.074174	0.285387	0.692863
gene394	LOC101749362	1	-	30719773	30749885	4.210440	2.805663	6.811594
gene395	ARID2	1	+	30749892	30857508	17.504118	5.418147	13.154185
gene396	LOC107052702	1	-	30806010	30808706	0.332778	0.084671	0.205564
gene397	SCAF11	1	-	30864009	30905505	57.178295	15.304891	37.157238
gene398	LOC107052703	1	+	30905637	30910372	0.310115	0.078905	0.191565
gene399	SLC38A1	1	-	30930595	30969268	113.810165	30.772728	74.710075
gene400	LOC107052706	1	+	30949697	30960153	0.756716	0.192536	0.467440
gene401	LOC101749506	1	+	30969441	30986846	1.391956	0.389164	0.944812
gene402	SLC38A2	1	-	30985304	31000388	752.099487	263.937073	640.786804
gene403	SLC38A4	1	-	31101534	31132280	0.521092	0.145375	0.352941
gene404	LOC101749586	1	+	31132310	31149162	0.094488	0.024041	0.058367
gene405	LOC101749639	1	+	31137090	31139539	0.065317	0.016619	0.040348
gene407	AMIGO2	1	-	31248889	31258419	6.068376	1.640616	3.983091
gene408	RPAP3	1	-	31426791	31441764	66.512398	17.352985	42.129601
gene409	XRCC6BP1	1	+	31441843	31454984	11.830783	18.866331	45.803707
gene410	LRIG3	1	-	31717916	31765031	3.657900	2.037833	4.947453
gene411	LOC101749839	1	-	31986081	32004418	0.391705	0.099664	0.241965
gene412	SLC16A7	1	+	32040996	32123391	0.621708	1.950986	4.736607
